code,name,link,type
1.1E+11,北京市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/11.html,province
1.2E+11,天津市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/12.html,province
1.3E+11,河北省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/13.html,province
1.4E+11,山西省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/14.html,province
1.5E+11,内蒙古自治区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/15.html,province
2.1E+11,辽宁省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/21.html,province
2.2E+11,吉林省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/22.html,province
2.3E+11,黑龙江省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23.html,province
3.1E+11,上海市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/31.html,province
3.2E+11,江苏省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/32.html,province
3.3E+11,浙江省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/33.html,province
3.4E+11,安徽省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/34.html,province
3.5E+11,福建省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/35.html,province
3.6E+11,江西省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/36.html,province
3.7E+11,山东省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/37.html,province
4.1E+11,河南省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/41.html,province
4.2E+11,湖北省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/42.html,province
4.3E+11,湖南省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/43.html,province
4.4E+11,广东省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/44.html,province
4.5E+11,广西壮族自治区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/45.html,province
4.6E+11,海南省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/46.html,province
5E+11,重庆市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/50.html,province
5.1E+11,四川省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/51.html,province
5.2E+11,贵州省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/52.html,province
5.3E+11,云南省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/53.html,province
5.4E+11,西藏自治区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/54.html,province
6.1E+11,陕西省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/61.html,province
6.2E+11,甘肃省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62.html,province
6.3E+11,青海省,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/63.html,province
6.4E+11,宁夏回族自治区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/64.html,province
6.5E+11,新疆维吾尔自治区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/65.html,province
